,agency_name,acrs_report_type,crash_date_time,number_of_lanes,at_fault,collision_type,weather,light,driver_substance_abuse,first_harmful_event,latitude,longitude,hit_run,road_grade,surface_condition,traffic_control,junction,intersection_type,road_alignment,road_condition,road_division,route_type,road_name
255,Gaithersburg,Property Damage Crash,2025-05-15 15:30:00,2,Unknown,Front To Front,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.11389362,-77.20831253,No,Level,Dry,Other,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",Local Route,Copley Pl
256,Montgomery,Injury Crash,2025-05-15 15:23:00,2,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.15547017,-77.15565,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Muncaster Mill Rd
257,Montgomery,Property Damage Crash,2025-05-15 15:15:00,0,Driver,Single Vehicle,Clear,Daylight,Not Suspected,Curb,39.00850417,-76.981599,No,Downhill,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Local Route,Hampshire West Ct
258,Rockville,Injury Crash,2025-05-15 14:30:00,3,Unknown,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.09943435,-77.15406476,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Hungerford Dr
259,Montgomery,Property Damage Crash,2025-05-15 13:56:00,3,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.06292582,-77.12509052,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Rockville Pike (Sb/L)
260,Montgomery,Injury Crash,2025-05-15 13:27:00,3,Nonmotorist,Unknown,Clear,Daylight,Not Suspected,Pedalcycle,39.08023256,-77.08076385,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,County Route,Aspen Hill Rd
261,Rockville,Property Damage Crash,2025-05-15 12:50:00,1,Unknown,"Sideswipe, Same Direction",Clear,Daylight,Unknown,Motor Vehicle In Transport,39.08415854,-77.13337239,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Municipality Route,Baltimore Rd
262,Montgomery,Property Damage Crash,2025-05-15 11:01:00,1,Driver,Front To Rear,Clear,Daylight,Unknown,Motor Vehicle In Transport,39.08680542,-76.95858199,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,County Route,Undisclosed
263,Montgomery,Injury Crash,2025-05-15 11:00:00,4,Nonmotorist,Single Vehicle,Clear,Daylight,Not Suspected,Pedalcycle,39.1677852,-77.17428102,No,Downhill,Dry,No/Unknown/Miscellaneous Control,Driveway Access Or Related,Non-Intersection,Curve Right,No Defects,Not Divided,County Route,Undisclosed
264,Montgomery,Property Damage Crash,2025-05-15 10:48:00,3,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.01058891,-77.15161823,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Interstate (State),Capital Beltway (Wb/L)
266,Montgomery,Property Damage Crash,2025-05-15 09:00:00,3,Driver,Front To Rear,Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.16945292,-77.19116149,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Centerway Rd
267,Montgomery,Property Damage Crash,2025-05-15 08:47:00,1,Driver,"Sideswipe, Same Direction",Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,38.994015,-76.99124683,No,Level,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,Not Divided,County Route,10Th Ave
268,Montgomery,Injury Crash,2025-05-15 08:21:00,2,Unknown,Front To Rear,Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.05087889,-77.16406619,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Undisclosed
269,Montgomery,Injury Crash,2025-05-15 08:08:00,2,Driver,"Sideswipe, Same Direction",Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.11003,-77.30287167,No,Hillcrest,Dry,Traffic Signals,Crossover-Related,Non-Intersection,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide), Unknown",Maryland (State) Route,Undisclosed
271,Rockville,Property Damage Crash,2025-05-15 06:46:00,1,Driver,Single Vehicle,Clear,Daylight,Alcohol,"Other Post, Pole, Or Support",39.08513342,-77.15094421,No,Level,Wet,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,Municipality Route,Maryland Ave
273,Montgomery,Property Damage Crash,2025-05-14 17:30:00,6,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.00404891,-77.02365895,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,Us (State),Colesville Rd
274,Rockville,Property Damage Crash,2025-05-14 17:25:00,2,Unknown,Front To Rear,Clear,Daylight,Unknown,Motor Vehicle In Transport,39.05823972,-77.12468036,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Municipality Route,Rollins Ave
275,Montgomery,Property Damage Crash,2025-05-14 17:20:00,2,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.03664476,-77.14801374,No,Uphill,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Westlake Dr
276,Montgomery,Property Damage Crash,2025-05-14 16:58:00,3,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.04398361,-76.95109347,Unknown,Level,Dry,Traffic Signals,Through Roadway,Non-Intersection,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",County Route,Cherry Hill Rd (Eb/L)
277,Montgomery,Injury Crash,2025-05-14 16:26:00,2,Driver,Front To Front,Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.2463624,-77.14383436,No,Level,Dry,No/Unknown/Miscellaneous Control,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,Maryland (State) Route,Undisclosed
278,Gaithersburg,Injury Crash,2025-05-14 16:12:00,2,Driver,Front To Rear,Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.11635364,-77.20777356,No,Downhill,Dry,Traffic Signals,Entrance/Exit Ramp Or Related,Non-Intersection,Curve Right,No Defects,Not Divided,Spur,Undisclosed
279,Gaithersburg,Injury Crash,2025-05-14 15:22:00,"3, 4",Driver,Rear To Side,Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.12798889,-77.18511325,No,Downhill,Dry,No/Unknown/Miscellaneous Control,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,S Frederick Rd
280,Montgomery,Property Damage Crash,2025-05-14 14:46:00,1,Driver,Rear To Side,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.088931,-77.09427383,No,Level,Dry,Signs,Intersection Or Related,Angled/Skewed,Straight,No Defects,Not Divided,County Route,Bauer Dr
281,Rockville,Property Damage Crash,2025-05-14 14:37:00,4,Driver,Front To Rear,Clear,Daylight,Unknown,Motor Vehicle In Transport,39.07699165,-77.13950217,Unknown,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Municipality Route,Wootton Pkwy (Eb/L)
283,Montgomery,Property Damage Crash,2025-05-14 14:15:00,2,Unknown,Rear To Rear,Clear,Daylight,Unknown,Parked Vehicle,38.96182358,-77.08751828,Unknown,Downhill,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Willard Ave
285,Montgomery,Property Damage Crash,2025-05-14 13:25:00,1,Unknown,"Sideswipe, Opposite Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.99983738,-77.01125972,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Depressed Median",Maryland (State) Route,Wayne Ave
286,Montgomery,Injury Crash,2025-05-14 12:38:00,4,Driver,Angle,Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.15190809,-77.06444674,No,"Downhill, Uphill",Wet,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Olney Sandy Spring Rd
287,Montgomery,Injury Crash,2025-05-14 11:09:00,2,Driver,"Sideswipe, Same Direction",Cloudy,Daylight,Not Suspected,Parked Vehicle,39.024177,-77.1325385,Unknown,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Rockledge Dr (Sb/L)
288,Montgomery,Injury Crash,2025-05-14 10:55:00,3,Unknown,Single Vehicle,Cloudy,Daylight,Not Suspected,Thrown Or Falling Object,39.03652807,-77.0295753,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,University Blvd W (Wb/L)
289,Montgomery,Injury Crash,2025-05-14 10:22:00,2,Unknown,"Sideswipe, Same Direction",Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.06073801,-77.15802758,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Other Public Roadway,Undisclosed
290,Montgomery,Property Damage Crash,2025-05-14 09:18:00,3,Unknown,Front To Rear,Rain,Daylight,Unknown,Motor Vehicle In Transport,39.05106955,-77.075035,Unknown,Downhill,Wet,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Connecticut Ave (Sb/L)
291,Montgomery,Property Damage Crash,2025-05-14 08:54:00,4,Driver,Front To Rear,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.05208809,-77.07575574,Unknown,Downhill,Wet,Traffic Signals,Intersection Or Related,Angled/Skewed,Straight,No Defects,Not Divided,Maryland (State) Route,No Name
292,Montgomery,Injury Crash,2025-05-14 08:46:00,"1, 4",Unknown,Angle,Cloudy,Daylight,Unknown,Motor Vehicle In Transport,39.04732839,-77.07584833,Unknown,Level,Wet,Traffic Signals,Intersection Or Related,Angled/Skewed,Straight,No Defects,"Divided, Raised Median (Curbed), Not Divided",County Route,Adams Dr
293,Montgomery,Property Damage Crash,2025-05-14 08:01:00,4,Driver,Front To Rear,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.19213217,-77.24247899,No,Level,Wet,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Germantown Rd
294,Montgomery,Property Damage Crash,2025-05-14 06:16:00,2,Unknown,Angle,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.08800111,-77.30282745,No,"Downhill, Uphill",Wet,No/Unknown/Miscellaneous Control,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",County Route,Esworthy Rd
295,Montgomery,Fatal Crash,2025-05-14 05:31:00,3,Unknown,Single Vehicle,Rain,Dark - Lighted,Unknown,Pedestrian,39.15797194,-77.22180418,No,Level,Wet,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Other Public Roadway,W Watkins Mill Rd
296,Montgomery,Property Damage Crash,2025-05-14 01:30:00,2,Unknown,Single Vehicle,Rain,Dark - Lighted,Not Suspected,Tree (Standing),39.25989333,-77.21113917,No,Downhill,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Sweepstakes Rd
297,Montgomery,Injury Crash,2025-05-13 23:15:00,3,Driver,Angle,Rain,Dark - Lighted,Not Suspected,Motor Vehicle In Transport,39.0356246,-77.02587627,No,"Downhill, Level",Wet,Traffic Signals,Intersection Or Related,Perpendicular,"Curve Right, Straight",No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,University Blvd W
298,Montgomery,Property Damage Crash,2025-05-13 21:29:00,4,Unknown,Other,Rain,Dark - Lighted,Not Suspected,Motor Vehicle In Transport,38.99468583,-77.036538,No,Uphill,Wet,Other,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,East West Hwy (Wb/L)
299,Montgomery,Property Damage Crash,2025-05-13 18:27:00,2,Driver,Front To Rear,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.13221967,-77.12095367,No,Level,Wet,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Muncaster Mill Rd
300,Montgomery,Property Damage Crash,2025-05-13 18:17:00,1,Driver,Front To Rear,Rain,Daylight,Not Suspected,Parked Vehicle,38.98836391,-77.0989828,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Cordell Ave
301,Montgomery,Property Damage Crash,2025-05-13 17:30:00,2,Unknown,Single Vehicle,Rain,Daylight,Not Suspected,Embankment,39.12465134,-77.37374778,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Curve Left,No Defects,Not Divided,Maryland (State) Route,Whites Ferry Rd
302,Montgomery,Property Damage Crash,2025-05-13 17:21:00,3,Driver,"Sideswipe, Same Direction",Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.03487606,-77.0251293,Unknown,Level,Wet,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,University Blvd W
303,Montgomery,Property Damage Crash,2025-05-13 17:20:00,"1, 4",Driver,Front To Front,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.14459599,-77.14465922,No,Level,Wet,Other,Non-Junction,Non-Intersection,Straight,No Defects,"Not Divided, Not Divided, With A Continuous Left-Turn Lane",County Route,Redland Rd
304,Montgomery,Property Damage Crash,2025-05-13 17:15:00,3,Unknown,"Sideswipe, Same Direction",Rain,Daylight,Unknown,Motor Vehicle In Transport,39.02976466,-77.07529517,Unknown,Level,Wet,Traffic Signals,Non-Junction,Non-Intersection,Straight,Unknown,"Divided, Raised Median (Curbed)",Municipality Route,Concord St
305,Montgomery,Property Damage Crash,2025-05-13 16:53:00,1,Unknown,"Sideswipe, Same Direction",Rain,Daylight,Unknown,Motor Vehicle In Transport,39.17009252,-77.21808453,Unknown,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Cambridge Ct
306,Montgomery,Property Damage Crash,2025-05-13 15:12:00,2,Driver,Front To Rear,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.18207433,-77.26029598,No,Level,Wet,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Aircraft Dr
307,Montgomery,Property Damage Crash,2025-05-13 15:01:00,1,Driver,Other,Rain,Daylight,Not Suspected,Parked Vehicle,39.00135765,-77.00894896,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Other Public Roadway,Manchester Pl
308,Montgomery,Property Damage Crash,2025-05-13 14:20:00,2,Driver,"Sideswipe, Same Direction",Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.1144323,-77.18556679,Unknown,Level,Wet,Traffic Signals,Acceleration/Deceleration Lane,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Municipality Route,Choke Cherry Rd
310,Montgomery,Property Damage Crash,2025-05-13 13:14:00,3,Driver,"Sideswipe, Same Direction",Rain,Daylight,Not Suspected,Motor Vehicle In Transport,38.97638808,-77.07712817,No,Level,Wet,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Connecticut Ave
311,Montgomery,Property Damage Crash,2025-05-13 11:59:00,2,Driver,Angle,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.02913187,-77.05105344,No,Downhill,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Plyers Mill Rd
312,Gaithersburg,Property Damage Crash,2025-05-13 11:30:00,4,Driver,Angle,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.11238433,-77.18672983,No,Level,Wet,No/Unknown/Miscellaneous Control,Entrance/Exit Ramp Or Related,Non-Intersection,"Curve Right, Straight",No Defects,Not Divided,County Route,Shady Grove Rd
313,Montgomery,Property Damage Crash,2025-05-13 11:10:00,3,Unknown,Single Vehicle,Rain,Daylight,Not Suspected,Guardrail End Terminal,39.12071905,-77.19521535,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Curve Right,Unknown,Not Divided,Ramp,Ramp 1 Fr Is 270 Nb To Is 370 Wb
314,Rockville,Injury Crash,2025-05-13 08:53:00,1,Unknown,Single Vehicle,Rain,Daylight,Not Suspected,Thrown Or Falling Object,39.0789742,-77.15590831,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Municipality Route,Maryland Ave
315,Montgomery,Property Damage Crash,2025-05-13 08:50:00,"1, 2",Driver,Angle,Rain,Daylight,Unknown,Motor Vehicle In Transport,39.15726216,-77.27578109,Unknown,Level,Wet,Other,Intersection Or Related,Angled/Skewed,Straight,No Defects,"Divided, Depressed Median, Not Divided",Maryland (State) Route,Great Seneca Hwy
316,Rockville,Property Damage Crash,2025-05-13 08:18:00,1,Driver,Other,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.10179804,-77.15980958,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Municipality Route,Undisclosed
317,Montgomery,Injury Crash,2025-05-13 08:09:00,3,Driver,Angle,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.01212529,-77.00274206,No,Level,Wet,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Depressed Median",County Route,Franklin Ave
318,Montgomery,Property Damage Crash,2025-05-13 08:00:00,3,Driver,Front To Rear,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.09040693,-77.05214989,No,Uphill,Wet,No/Unknown/Miscellaneous Control,Acceleration/Deceleration Lane,Non-Intersection,Straight,No Defects,"Not Divided, With A Continuous Left-Turn Lane",County Route,Undisclosed
319,Montgomery,Property Damage Crash,2025-05-13 08:00:00,2,Driver,Single Vehicle,Rain,Daylight,Not Suspected,Ditch,38.96005967,-77.13216905,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Curve Right,No Defects,Not Divided,County Route,Undisclosed
320,Montgomery,Property Damage Crash,2025-05-13 07:36:00,1,Unknown,"Sideswipe, Opposite Direction",Rain,Daylight,Unknown,Motor Vehicle In Transport,39.2647754,-77.1760514,Unknown,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Hawkins Creamery Rd
321,Montgomery,Property Damage Crash,2025-05-13 05:59:00,3,Driver,Single Vehicle,Rain,Daylight,Not Suspected,Curb,39.03757024,-76.99908219,No,Uphill,Wet,No/Unknown/Miscellaneous Control,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",Us (State),Columbia Pike
322,Montgomery,Property Damage Crash,2025-05-13 04:00:00,1,Driver,Single Vehicle,Rain,Dark - Lighted,Not Suspected,Tree (Standing),39.12475386,-77.00971939,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Curve Right,No Defects,Not Divided,County Route,Firestone Dr
323,Montgomery,Property Damage Crash,2025-05-13 02:44:00,2,Unknown,Front To Rear,Rain,Dark - Lighted,Unknown,Motor Vehicle In Transport,38.96382252,-77.10221544,Unknown,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Not Divided, With A Continuous Left-Turn Lane",Maryland (State) Route,River Rd
324,Montgomery,Injury Crash,2025-05-12 21:20:00,5,Unknown,Single Vehicle,Cloudy,Dark - Not Lighted,Not Suspected,Pedestrian,39.03343794,-76.986232,No,Level,Wet,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Schindler Dr
325,Montgomery,Injury Crash,2025-05-12 21:16:00,2,Unknown,Other,Clear,Dark - Lighted,Not Suspected,Motor Vehicle In Transport,38.95993633,-77.09632699,No,Level,Wet,No/Unknown/Miscellaneous Control,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,County Route,Baltimore Ave
327,Montgomery,Property Damage Crash,2025-05-12 19:40:00,"4, 5",Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.05146911,-77.07475821,Unknown,"Downhill, Level",Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Veirs Mill Rd
328,Rockville,Injury Crash,2025-05-12 18:52:00,3,Unknown,Rear To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.07284844,-77.13382746,No,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Rockville Pike
329,Montgomery,Injury Crash,2025-05-12 18:39:00,4,Unknown,Front To Rear,Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.06613464,-77.02220373,No,Downhill,Dry,Other,Through Roadway,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Randolph Rd (Wb/L)
330,Montgomery,Injury Crash,2025-05-12 18:30:00,1,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.19227433,-77.00631267,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Brighton Dam Rd
331,Montgomery,Property Damage Crash,2025-05-12 17:31:00,2,Unknown,Front To Rear,Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.02017218,-77.16168951,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Seven Locks Rd
332,Gaithersburg,Property Damage Crash,2025-05-12 16:50:00,5,Unknown,Front To Rear,Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.13929076,-77.22200181,No,Level,Dry,Traffic Signals,Through Roadway,Non-Intersection,Straight,No Defects,"Divided, Depressed Median",Maryland (State) Route,Quince Orchard Rd
334,Montgomery,Property Damage Crash,2025-05-12 14:14:00,3,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.20149512,-77.25368181,No,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Ridge Rd (Nb/L)
335,Rockville,Property Damage Crash,2025-05-12 14:00:00,4,Unknown,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.05868607,-77.11887897,No,Uphill,Dry,Traffic Signals,Non-Junction,Non-Intersection,Curve Left,No Defects,"Divided, Raised Median (Curbed)",Municipality Route,Twinbrook Pkwy (Nb/L)
336,Rockville,Injury Crash,2025-05-12 13:20:00,2,Unknown,Rear To Side,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.0914664,-77.17858335,No,Uphill,Dry,Other,Driveway Access Or Related,Non-Intersection,"Curve Left, Curve Right",No Defects,Not Divided,Municipality Route,Research Blvd
337,Montgomery,Injury Crash,2025-05-12 13:12:00,2,Driver,Single Vehicle,Clear,Daylight,Not Suspected,Curb,39.10602833,-77.29613,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Undisclosed
339,Montgomery,Property Damage Crash,2025-05-12 12:15:00,"2, 4",Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.1520267,-77.06436437,No,"Level, Uphill",Dry,Traffic Signals,Intersection Or Related,Angled/Skewed,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Olney Sandy Spring Rd (Wb/L)
340,Montgomery,Property Damage Crash,2025-05-12 09:58:00,3,Driver,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.976296,-77.07707841,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Connecticut Ave
341,Montgomery,Property Damage Crash,2025-05-12 08:20:00,"1, 3",Driver,Rear To Side,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.02835874,-77.04729617,No,Level,Dry,Other,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",Local Route,Predella Dr
342,Montgomery,Injury Crash,2025-05-12 08:09:00,1,Driver,Front To Front,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.1930755,-77.23058517,No,"Downhill, Uphill",Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,"Curve Left, Curve Right",No Defects,Not Divided,County Route,Mill Pond Terr
343,Montgomery,Property Damage Crash,2025-05-12 07:49:00,"3, 4",Unknown,Angle,Clear,Daylight,Unknown,Motor Vehicle In Transport,39.18769758,-77.18678164,Unknown,"Downhill, Sag(Bottom)",Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,County Route,Wightman Rd
345,Montgomery,Property Damage Crash,2025-05-12 06:40:00,2,Driver,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.17441766,-77.05867188,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Georgia Ave
346,Montgomery,Injury Crash,2025-05-12 06:20:00,4,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.04621946,-76.98733455,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Us (State),Columbia Pike (Sb/L)
347,Montgomery,Property Damage Crash,2025-05-12 01:56:00,3,Driver,Single Vehicle,Clear,Dark - Lighted,Alcohol,Curb,38.98696574,-77.02673558,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Us (State),Undisclosed
348,Montgomery,Property Damage Crash,2025-05-12 01:30:00,1,Driver,Single Vehicle,Clear,Dark - Lighted,Not Suspected,Curb,39.02018665,-76.97784164,No,Level,Dry,No/Unknown/Miscellaneous Control,Entrance/Exit Ramp Or Related,Non-Intersection,Curve Right,No Defects,Not Divided,Ramp,Ramp 7 Fr Is 495 Wb To Md 650 Sb
349,Montgomery,Property Damage Crash,2025-05-12 00:30:00,9,Driver,Single Vehicle,Clear,Dark - Lighted,Not Suspected,Curb,39.12062683,-77.034799,No,Level,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",Maryland (State) Route,Norbeck Rd
