,agency_name,acrs_report_type,crash_date_time,number_of_lanes,at_fault,collision_type,weather,light,driver_substance_abuse,first_harmful_event,latitude,longitude,hit_run,road_grade,surface_condition,traffic_control,junction,intersection_type,road_alignment,road_condition,road_division,route_type,road_name
57,Montgomery,Injury Crash,2025-05-23 19:05:00,1,Nonmotorist,Single Vehicle,Clear,Daylight,Not Suspected,Pedalcycle,39.22833993,-77.2501832,No,Level,Dry,Traffic Signals,Intersection Or Related,Angled/Skewed,Straight,No Defects,Not Divided,County Route,Newcut Rd
58,Montgomery,Property Damage Crash,2025-05-23 18:40:00,3,Unknown,"Sideswipe, Same Direction",Clear,Daylight,Unknown,Motor Vehicle In Transport,39.14129395,-77.15241252,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",County Route,Shady Grove Rd (Sb/L)
59,Montgomery,Injury Crash,2025-05-23 17:56:00,4,Driver,Other,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.05345098,-77.10727323,No,Level,Dry,No/Unknown/Miscellaneous Control,Driveway Access Or Related,Non-Intersection,Straight,No Defects,"Not Divided, Not Divided, With A Continuous Left-Turn Lane",County Route,Randolph Rd
61,Montgomery,Property Damage Crash,2025-05-23 15:58:00,3,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.01625859,-76.97738276,No,Level,Dry,Human/Pedestrian Control,Entrance/Exit Ramp Or Related,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Ramp,Ramp 4 Fr Md 650 Nb To Is 495 Eb
62,Montgomery,Property Damage Crash,2025-05-23 15:14:00,2,Driver,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.00678511,-76.98043415,No,Downhill,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Northampton Dr
65,Montgomery,Injury Crash,2025-05-23 13:29:00,2,Unknown,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.06076341,-77.28229135,No,Level,Dry,Other,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",County Route,Travilah Rd
66,Montgomery,Injury Crash,2025-05-23 12:31:00,5,Driver,Angle,Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.03458199,-77.12485833,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Tuckerman La
67,Montgomery,Property Damage Crash,2025-05-23 11:00:00,2,Unknown,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.95572517,-77.10553533,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,Maryland (State) Route,Massachusetts Ave (Wb/L)
68,Gaithersburg,Property Damage Crash,2025-05-22 21:49:00,3,Driver,Angle,Clear,Dark - Lighted,Not Suspected,Motor Vehicle In Transport,39.14490683,-77.2027935,No,Level,Dry,Other,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,Municipality Route,Maryland Ave
69,Montgomery,Property Damage Crash,2025-05-22 21:25:00,3,Driver,Angle,Clear,Dark - Lighted,Not Suspected,Motor Vehicle In Transport,38.9912538,-77.02671866,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Us (State),Georgia Ave (Sb/L)
70,Montgomery,Injury Crash,2025-05-22 20:38:00,3,Unknown,Single Vehicle,Rain,Daylight,Not Suspected,Pedestrian,39.04090039,-77.15924,No,Level,Wet,Traffic Signals,Intersection Or Related,Angled/Skewed,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Seven Locks Rd
